order_id,user_id,restaurant_id,order_date,total_amount,restaurant_name_x,name,city,membership,restaurant_name_y,cuisine,rating
1,2508,450,2023-02-18,842.97,New Foods Chinese,User_2508,Hyderabad,Regular,Restaurant_450,Mexican,3.2
2,2693,309,2023-01-18,546.68,Ruchi Curry House Multicuisine,User_2693,Pune,Regular,Restaurant_309,Indian,4.5
3,2084,107,2023-07-15,163.93,Spice Kitchen Punjabi,User_2084,Chennai,Gold,Restaurant_107,Mexican,4.0
4,319,224,2023-10-04,1155.97,Darbar Kitchen Non-Veg,User_319,Bangalore,Gold,Restaurant_224,Chinese,4.8
5,1064,293,2023-12-25,1321.91,Royal Eatery South Indian,User_1064,Pune,Regular,Restaurant_293,Italian,3.0
6,2933,499,2023-07-12,1497.22,Annapurna Tiffins South Indian,User_2933,Chennai,Regular,Restaurant_499,Mexican,4.9
7,970,35,2023-05-30,129.21,Royal Biryani North Indian,User_970,Bangalore,Regular,Restaurant_35,Chinese,3.9
8,891,57,2023-11-07,269.19,Spice Mess Punjabi,User_891,Pune,Regular,Restaurant_57,Mexican,4.4
9,364,7,2023-12-05,953.3,Ruchi Biryani Punjabi,User_364,Chennai,Gold,Restaurant_7,Italian,3.2
10,2972,183,2023-12-30,351.41,Taste of Biryani Non-Veg,User_2972,Bangalore,Regular,Restaurant_183,Chinese,3.7
11,924,235,2023-12-10,523.82,Amma Delights Family Restaurant,User_924,Chennai,Regular,Restaurant_235,Italian,4.5
12,884,423,2023-10-27,1484.65,Royal Tiffins Multicuisine,User_884,Pune,Gold,Restaurant_423,Indian,3.2
13,1958,244,2023-08-11,216.59,Amma Tiffins South Indian,User_1958,Chennai,Regular,Restaurant_244,Italian,4.3
14,364,112,2023-09-24,898.24,Grand Cafe Punjabi,User_364,Chennai,Gold,Restaurant_112,Chinese,3.2
15,1733,383,2023-07-17,1098.41,Amma Biryani North Indian,User_1733,Pune,Regular,Restaurant_383,Indian,3.1
16,1321,149,2023-07-17,475.74,Amma Restaurant South Indian,User_1321,Pune,Gold,Restaurant_149,Mexican,3.6
17,1896,421,2023-04-09,1002.51,Ruchi Foods Chinese,User_1896,Pune,Regular,Restaurant_421,Indian,3.0
18,1617,414,2023-04-23,736.89,Darbar Delights South Indian,User_1617,Pune,Gold,Restaurant_414,Chinese,4.7
19,330,73,2023-12-27,392.59,Spice Mess Andhra,User_330,Chennai,Regular,Restaurant_73,Mexican,3.1
20,2567,52,2023-02-03,362.01,Udupi Curry House South Indian,User_2567,Bangalore,Gold,Restaurant_52,Mexican,4.9
21,1610,186,2023-08-13,743.68,Darbar Restaurant North Indian,User_1610,Pune,Regular,Restaurant_186,Indian,4.3
22,688,279,2023-07-12,507.82,Sri Tiffins Andhra,User_688,Hyderabad,Gold,Restaurant_279,Italian,4.9
23,2640,83,2023-06-14,1025.36,Darbar Mess Pure Veg,User_2640,Bangalore,Gold,Restaurant_83,Chinese,3.5
24,2403,434,2023-01-22,412.5,Amma Kitchen Punjabi,User_2403,Pune,Gold,Restaurant_434,Italian,4.7
25,288,18,2023-06-07,147.9,Annapurna Kitchen Family Restaurant,User_288,Pune,Regular,Restaurant_18,Italian,4.5
26,2915,129,2023-12-24,933.31,New Cafe North Indian,User_2915,Chennai,Gold,Restaurant_129,Indian,4.1
